match_id,innings,team,player,overs,balls_bowled,maidens,runs_conceded,wickets,economy,bowling_avg,bowling_sr
IPL_2019_001,1,PBKS,Sam Curran,4.0,24,0,34,3,8.5,11.33,8.0
IPL_2019_001,1,PBKS,Harpreet Brar,4.0,24,0,34,2,8.5,17.0,12.0
IPL_2019_001,1,PBKS,Harshal Patel,4.0,24,0,29,0,7.25,,
IPL_2019_001,1,PBKS,Kagiso Rabada,4.0,24,1,15,2,3.75,7.5,12.0
IPL_2019_001,1,PBKS,Arshdeep Singh,4.0,24,0,69,2,17.25,34.5,12.0
IPL_2019_001,2,LSG,Marcus Stoinis,4.0,24,0,26,1,6.5,26.0,24.0
IPL_2019_001,2,LSG,Deepak Hooda,4.0,24,0,22,2,5.5,11.0,12.0
IPL_2019_001,2,LSG,Krunal Pandya,4.0,24,1,16,0,4.0,,
IPL_2019_001,2,LSG,Ravi Bishnoi,4.0,24,0,19,3,4.75,6.33,8.0
IPL_2019_001,2,LSG,Mohsin Khan,4.0,24,0,74,3,18.5,24.67,8.0
IPL_2019_002,1,PBKS,Sam Curran,4.0,24,0,29,2,7.25,14.5,12.0
IPL_2019_002,1,PBKS,Harpreet Brar,4.0,24,0,40,3,10.0,13.33,8.0
IPL_2019_002,1,PBKS,Harshal Patel,4.0,24,0,19,0,4.75,,
IPL_2019_002,1,PBKS,Kagiso Rabada,4.0,24,0,15,1,3.75,15.0,24.0
IPL_2019_002,1,PBKS,Arshdeep Singh,4.0,24,0,90,2,22.5,45.0,12.0
IPL_2019_002,2,KKR,Sunil Narine,4.0,24,0,28,3,7.0,9.33,8.0
IPL_2019_002,2,KKR,Andre Russell,4.0,24,0,33,0,8.25,,
IPL_2019_002,2,KKR,Ramandeep Singh,4.0,24,0,20,1,5.0,20.0,24.0
IPL_2019_002,2,KKR,Mitchell Starc,4.0,24,1,20,1,5.0,20.0,24.0
IPL_2019_002,2,KKR,Harshit Rana,4.0,24,0,77,3,19.25,25.67,8.0
IPL_2019_003,1,PBKS,Sam Curran,4.0,24,0,27,0,6.75,,
IPL_2019_003,1,PBKS,Harpreet Brar,4.0,24,0,25,0,6.25,,
IPL_2019_003,1,PBKS,Harshal Patel,4.0,24,0,31,2,7.75,15.5,12.0
IPL_2019_003,1,PBKS,Kagiso Rabada,4.0,24,1,23,3,5.75,7.67,8.0
IPL_2019_003,1,PBKS,Arshdeep Singh,4.0,24,0,69,1,17.25,69.0,24.0
IPL_2019_003,2,RR,Rovman Powell,4.0,24,0,41,1,10.25,41.0,24.0
IPL_2019_003,2,RR,Ravichandran Ashwin,4.0,24,0,29,0,7.25,,
IPL_2019_003,2,RR,Trent Boult,4.0,24,0,18,1,4.5,18.0,24.0
IPL_2019_003,2,RR,Avesh Khan,4.0,24,0,22,2,5.5,11.0,12.0
IPL_2019_003,2,RR,Sandeep Sharma,4.0,24,0,72,1,18.0,72.0,24.0
IPL_2019_004,1,LSG,Marcus Stoinis,4.0,24,0,32,2,8.0,16.0,12.0
IPL_2019_004,1,LSG,Deepak Hooda,4.0,24,0,37,0,9.25,,
IPL_2019_004,1,LSG,Krunal Pandya,4.0,24,0,21,1,5.25,21.0,24.0
IPL_2019_004,1,LSG,Ravi Bishnoi,4.0,24,0,20,2,5.0,10.0,12.0
