match_id,season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,result
IPL_2019_001,2019,2019-05-11,LSG,PBKS,Eden Gardens,Kolkata,PBKS,field,LSG,LSG won by 24 runs
IPL_2019_002,2019,2019-05-04,KKR,PBKS,Rajiv Gandhi International Cricket Stadium,Hyderabad,PBKS,field,KKR,KKR won by 15 runs
IPL_2019_003,2019,2019-05-15,PBKS,RR,Wankhede Stadium,Mumbai,PBKS,field,PBKS,PBKS won by 5 wickets
IPL_2019_004,2019,2019-04-12,SRH,LSG,M. Chinnaswamy Stadium,Bengaluru,SRH,bat,SRH,SRH won by 26 runs
IPL_2019_005,2019,2019-05-18,RCB,KKR,Wankhede Stadium,Mumbai,RCB,bat,KKR,KKR won by 5 wickets
IPL_2019_006,2019,2019-03-01,DC,GT,M. Chinnaswamy Stadium,Bengaluru,DC,field,GT,GT won by 17 runs
IPL_2019_007,2019,2019-04-06,RR,CSK,Arun Jaitley Stadium,Delhi,CSK,field,CSK,CSK won by 5 wickets
IPL_2019_008,2019,2019-05-12,DC,LSG,M. A. Chidambaram Stadium (Chepauk),Chennai,LSG,field,LSG,LSG won by 4 wickets
IPL_2019_009,2019,2019-03-11,MI,DC,Arun Jaitley Stadium,Delhi,DC,bat,MI,MI won by 5 wickets
IPL_2019_010,2019,2019-05-23,GT,CSK,M. A. Chidambaram Stadium (Chepauk),Chennai,GT,bat,GT,GT won by 19 runs
IPL_2019_011,2019,2019-04-25,GT,DC,Sawai Mansingh Stadium,Jaipur,GT,field,GT,GT won by 4 wickets
IPL_2019_012,2019,2019-04-16,GT,RCB,Eden Gardens,Kolkata,RCB,field,RCB,RCB won by 5 wickets
IPL_2019_013,2019,2019-04-04,MI,RCB,Sawai Mansingh Stadium,Jaipur,MI,field,RCB,RCB won by 39 runs
IPL_2019_014,2019,2019-04-26,LSG,GT,Wankhede Stadium,Mumbai,LSG,bat,LSG,LSG won by 17 runs
IPL_2019_015,2019,2019-03-22,LSG,SRH,M. Chinnaswamy Stadium,Bengaluru,SRH,bat,LSG,LSG won by 5 wickets
IPL_2019_016,2019,2019-04-15,CSK,RCB,Eden Gardens,Kolkata,RCB,bat,CSK,CSK won by 5 wickets
IPL_2019_017,2019,2019-05-08,PBKS,RR,M. Chinnaswamy Stadium,Bengaluru,PBKS,bat,RR,RR won by 6 wickets
IPL_2019_018,2019,2019-05-04,CSK,MI,Arun Jaitley Stadium,Delhi,CSK,bat,MI,MI won via Super Over
IPL_2019_019,2019,2019-04-01,GT,LSG,M. A. Chidambaram Stadium (Chepauk),Chennai,LSG,bat,GT,GT won by 4 wickets
IPL_2019_020,2019,2019-04-21,PBKS,RCB,M. A. Chidambaram Stadium (Chepauk),Chennai,RCB,field,PBKS,PBKS won by 28 runs
IPL_2019_021,2019,2019-03-08,RR,GT,M. A. Chidambaram Stadium (Chepauk),Chennai,GT,bat,RR,RR won by 6 wickets
IPL_2019_022,2019,2019-04-16,PBKS,LSG,Wankhede Stadium,Mumbai,PBKS,field,LSG,LSG won by 16 runs
IPL_2019_023,2019,2019-04-03,MI,CSK,BRSABV Ekana Cricket Stadium,Lucknow,MI,field,MI,MI won by 6 wickets
IPL_2019_024,2019,2019-03-25,RR,GT,Rajiv Gandhi International Cricket Stadium,Hyderabad,GT,field,GT,GT won by 6 wickets
IPL_2019_025,2019,2019-05-23,SRH,KKR,Sawai Mansingh Stadium,Jaipur,KKR,bat,KKR,KKR won by 1 runs
IPL_2019_026,2019,2019-03-23,GT,LSG,BRSABV Ekana Cricket Stadium,Lucknow,GT,field,GT,GT won by 5 wickets
IPL_2019_027,2019,2019-05-03,RR,SRH,M. A. Chidambaram Stadium (Chepauk),Chennai,SRH,bat,RR,RR won by 5 wickets
IPL_2019_028,2019,2019-05-09,DC,SRH,Eden Gardens,Kolkata,SRH,field,SRH,SRH won by 5 wickets
IPL_2019_029,2019,2019-04-20,LSG,RCB,Maharaja Yadavindra Singh Stadium,Mullanpur,RCB,field,RCB,RCB won by 6 wickets
IPL_2019_030,2019,2019-03-27,PBKS,LSG,Arun Jaitley Stadium,Delhi,PBKS,field,LSG,LSG won by 10 runs
IPL_2019_031,2019,2019-04-18,RR,LSG,Rajiv Gandhi International Cricket Stadium,Hyderabad,LSG,field,RR,RR won by 16 runs
IPL_2019_032,2019,2019-04-15,CSK,RCB,M. Chinnaswamy Stadium,Bengaluru,CSK,bat,RCB,RCB won by 6 wickets
IPL_2019_033,2019,2019-05-20,RR,CSK,Wankhede Stadium,Mumbai,RR,bat,RR,RR won by 23 runs
IPL_2019_034,2019,2019-05-27,LSG,PBKS,Eden Gardens,Kolkata,PBKS,bat,LSG,LSG won by 4 wickets
IPL_2019_035,2019,2019-05-11,SRH,RCB,Arun Jaitley Stadium,Delhi,RCB,field,SRH,SRH won by 1 runs
IPL_2019_036,2019,2019-04-21,DC,RR,Arun Jaitley Stadium,Delhi,DC,field,RR,RR won by 3 runs
IPL_2019_037,2019,2019-03-27,LSG,KKR,Eden Gardens,Kolkata,KKR,field,KKR,KKR won by 4 wickets
IPL_2019_038,2019,2019-03-01,KKR,MI,Narendra Modi Stadium,Ahmedabad,MI,bat,MI,MI won by 21 runs
IPL_2019_039,2019,2019-03-10,MI,PBKS,Wankhede Stadium,Mumbai,MI,field,MI,MI won by 5 wickets
IPL_2019_040,2019,2019-05-21,RR,DC,Rajiv Gandhi International Cricket Stadium,Hyderabad,RR,bat,DC,DC won by 5 wickets
IPL_2019_041,2019,2019-04-16,KKR,RCB,BRSABV Ekana Cricket Stadium,Lucknow,RCB,field,RCB,RCB won by 5 wickets
IPL_2019_042,2019,2019-05-21,PBKS,MI,Narendra Modi Stadium,Ahmedabad,MI,bat,PBKS,PBKS won by 5 wickets
IPL_2019_043,2019,2019-05-11,GT,CSK,Narendra Modi Stadium,Ahmedabad,GT,bat,GT,GT won by 6 runs
IPL_2019_044,2019,2019-04-26,PBKS,KKR,M. A. Chidambaram Stadium (Chepauk),Chennai,PBKS,field,KKR,KKR won by 4 runs
IPL_2019_045,2019,2019-05-23,PBKS,LSG,Eden Gardens,Kolkata,LSG,field,PBKS,PBKS won by 9 runs
IPL_2019_046,2019,2019-05-18,PBKS,RR,Maharaja Yadavindra Singh Stadium,Mullanpur,PBKS,bat,PBKS,PBKS won by 15 runs
