match_id,innings,team,player,overs,balls_bowled,maidens,runs_conceded,wickets,economy,bowling_avg,bowling_sr
IPL_2023_001,1,CSK,Rachin Ravindra,4.0,24,0,31,1,7.75,31.0,24.0
IPL_2023_001,1,CSK,Daryl Mitchell,4.0,24,0,24,2,6.0,12.0,12.0
IPL_2023_001,1,CSK,Shivam Dube,4.0,24,0,30,2,7.5,15.0,12.0
IPL_2023_001,1,CSK,Ravindra Jadeja,4.0,24,0,14,2,3.5,7.0,12.0
IPL_2023_001,1,CSK,Mitchell Santner,4.0,24,0,83,2,20.75,41.5,12.0
IPL_2023_001,2,SRH,Abhishek Sharma,4.0,24,0,31,0,7.75,,
IPL_2023_001,2,SRH,Nitish Kumar Reddy,4.0,24,0,35,3,8.75,11.67,8.0
IPL_2023_001,2,SRH,Shahbaz Ahmed,4.0,24,0,21,2,5.25,10.5,12.0
IPL_2023_001,2,SRH,Pat Cummins,4.0,24,0,20,1,5.0,20.0,24.0
IPL_2023_001,2,SRH,Bhuvneshwar Kumar,4.0,24,0,84,3,21.0,28.0,8.0
IPL_2023_002,1,DC,Axar Patel,4.0,24,0,42,2,10.5,21.0,12.0
IPL_2023_002,1,DC,Kuldeep Yadav,4.0,24,0,19,0,4.75,,
IPL_2023_002,1,DC,Khaleel Ahmed,4.0,24,0,20,1,5.0,20.0,24.0
IPL_2023_002,1,DC,Mukesh Kumar,4.0,24,0,14,1,3.5,14.0,24.0
IPL_2023_002,1,DC,Ishant Sharma,4.0,24,0,72,1,18.0,72.0,24.0
IPL_2023_002,2,LSG,Marcus Stoinis,4.0,24,0,40,1,10.0,40.0,24.0
IPL_2023_002,2,LSG,Deepak Hooda,4.0,24,0,30,1,7.5,30.0,24.0
IPL_2023_002,2,LSG,Krunal Pandya,4.0,24,0,16,1,4.0,16.0,24.0
IPL_2023_002,2,LSG,Ravi Bishnoi,4.0,24,0,21,2,5.25,10.5,12.0
IPL_2023_002,2,LSG,Mohsin Khan,4.0,24,0,63,1,15.75,63.0,24.0
IPL_2023_003,1,PBKS,Sam Curran,4.0,24,0,32,1,8.0,32.0,24.0
IPL_2023_003,1,PBKS,Harpreet Brar,4.0,24,0,26,1,6.5,26.0,24.0
IPL_2023_003,1,PBKS,Harshal Patel,4.0,24,0,28,3,7.0,9.33,8.0
IPL_2023_003,1,PBKS,Kagiso Rabada,4.0,24,0,22,1,5.5,22.0,24.0
IPL_2023_003,1,PBKS,Arshdeep Singh,4.0,24,0,68,1,17.0,68.0,24.0
IPL_2023_003,2,DC,Axar Patel,4.0,24,0,30,1,7.5,30.0,24.0
IPL_2023_003,2,DC,Kuldeep Yadav,4.0,24,0,32,1,8.0,32.0,24.0
IPL_2023_003,2,DC,Khaleel Ahmed,4.0,24,0,22,2,5.5,11.0,12.0
IPL_2023_003,2,DC,Mukesh Kumar,4.0,24,0,20,1,5.0,20.0,24.0
IPL_2023_003,2,DC,Ishant Sharma,4.0,24,0,76,3,19.0,25.33,8.0
IPL_2023_004,1,CSK,Rachin Ravindra,4.0,24,0,37,2,9.25,18.5,12.0
IPL_2023_004,1,CSK,Daryl Mitchell,4.0,24,0,34,1,8.5,34.0,24.0
IPL_2023_004,1,CSK,Shivam Dube,4.0,24,0,32,0,8.0,,
IPL_2023_004,1,CSK,Ravindra Jadeja,4.0,24,0,17,0,4.25,,
IPL_2023_004,1,CSK,Mitchell Santner,4.0,24,0,84,2,21.0,42.0,12.0
IPL_2023_004,2,SRH,Abhishek Sharma,4.0,24,0,26,1,6.5,26.0,24.0
IPL_2023_004,2,SRH,Nitish Kumar Reddy,4.0,24,0,23,2,5.75,11.5,12.0
IPL_2023_004,2,SRH,Shahbaz Ahmed,4.0,24,0,24,0,6.0,,
IPL_2023_004,2,SRH,Pat Cummins,4.0,24,0,17,0,4.25,,
IPL_2023_004,2,SRH,Bhuvneshwar Kumar,4.0,24,0,67,1,16.75,67.0,24.0
IPL_2023_005,1,MI,Hardik Pandya,4.0,24,0,26,2,6.5,13.0,12.0
IPL_2023_005,1,MI,Romario Shepherd,4.0,24,0,30,2,7.5,15.0,12.0
IPL_2023_005,1,MI,Mohammad Nabi,4.0,24,0,21,1,5.25,21.0,24.0
IPL_2023_005,1,MI,Gerald Coetzee,4.0,24,0,19,3,4.75,6.33,8.0
IPL_2023_005,1,MI,Piyush Chawla,4.0,24,0,73,2,18.25,36.5,12.0
IPL_2023_005,2,LSG,Marcus Stoinis,4.0,24,0,39,3,9.75,13.0,8.0
IPL_2023_005,2,LSG,Deepak Hooda,4.0,24,0,26,0,6.5,,
IPL_2023_005,2,LSG,Krunal Pandya,4.0,24,0,21,1,5.25,21.0,24.0
IPL_2023_005,2,LSG,Ravi Bishnoi,4.0,24,0,18,1,4.5,18.0,24.0
IPL_2023_005,2,LSG,Mohsin Khan,4.0,24,0,60,3,15.0,20.0,8.0
IPL_2023_006,1,KKR,Sunil Narine,4.0,24,0,35,1,8.75,35.0,24.0
IPL_2023_006,1,KKR,Andre Russell,4.0,24,0,33,1,8.25,33.0,24.0
IPL_2023_006,1,KKR,Ramandeep Singh,4.0,24,0,18,2,4.5,9.0,12.0
IPL_2023_006,1,KKR,Mitchell Starc,4.0,24,0,16,2,4.0,8.0,12.0
IPL_2023_006,1,KKR,Harshit Rana,4.0,24,0,85,0,21.25,,
IPL_2023_006,2,SRH,Abhishek Sharma,4.0,24,0,42,1,10.5,42.0,24.0
IPL_2023_006,2,SRH,Nitish Kumar Reddy,4.0,24,0,33,2,8.25,16.5,12.0
IPL_2023_006,2,SRH,Shahbaz Ahmed,4.0,24,0,16,1,4.0,16.0,24.0
IPL_2023_006,2,SRH,Pat Cummins,4.0,24,0,21,2,5.25,10.5,12.0
IPL_2023_006,2,SRH,Bhuvneshwar Kumar,4.0,24,0,70,0,17.5,,
IPL_2023_007,1,DC,Axar Patel,4.0,24,0,29,2,7.25,14.5,12.0
IPL_2023_007,1,DC,Kuldeep Yadav,4.0,24,0,37,3,9.25,12.33,8.0
IPL_2023_007,1,DC,Khaleel Ahmed,4.0,24,0,28,1,7.0,28.0,24.0
IPL_2023_007,1,DC,Mukesh Kumar,4.0,24,0,17,2,4.25,8.5,12.0
IPL_2023_007,1,DC,Ishant Sharma,4.0,24,0,85,2,21.25,42.5,12.0
IPL_2023_007,2,LSG,Marcus Stoinis,4.0,24,0,40,2,10.0,20.0,12.0
IPL_2023_007,2,LSG,Deepak Hooda,4.0,24,1,19,2,4.75,9.5,12.0
IPL_2023_007,2,LSG,Krunal Pandya,4.0,24,0,27,1,6.75,27.0,24.0
IPL_2023_007,2,LSG,Ravi Bishnoi,4.0,24,0,17,2,4.25,8.5,12.0
IPL_2023_007,2,LSG,Mohsin Khan,4.0,24,0,66,1,16.5,66.0,24.0
IPL_2023_008,1,CSK,Rachin Ravindra,4.0,24,0,30,3,7.5,10.0,8.0
IPL_2023_008,1,CSK,Daryl Mitchell,4.0,24,0,22,1,5.5,22.0,24.0
IPL_2023_008,1,CSK,Shivam Dube,4.0,24,0,30,2,7.5,15.0,12.0
IPL_2023_008,1,CSK,Ravindra Jadeja,4.0,24,0,19,1,4.75,19.0,24.0
IPL_2023_008,1,CSK,Mitchell Santner,4.0,24,0,79,1,19.75,79.0,24.0
IPL_2023_008,2,MI,Hardik Pandya,4.0,24,0,35,2,8.75,17.5,12.0
IPL_2023_008,2,MI,Romario Shepherd,4.0,24,0,23,1,5.75,23.0,24.0
IPL_2023_008,2,MI,Mohammad Nabi,4.0,24,0,21,2,5.25,10.5,12.0
IPL_2023_008,2,MI,Gerald Coetzee,4.0,24,0,22,1,5.5,22.0,24.0
IPL_2023_008,2,MI,Piyush Chawla,4.0,24,0,86,0,21.5,,
IPL_2023_009,1,MI,Hardik Pandya,4.0,24,0,42,1,10.5,42.0,24.0
IPL_2023_009,1,MI,Romario Shepherd,4.0,24,0,37,2,9.25,18.5,12.0
IPL_2023_009,1,MI,Mohammad Nabi,4.0,24,0,26,0,6.5,,
IPL_2023_009,1,MI,Gerald Coetzee,4.0,24,1,16,0,4.0,,
IPL_2023_009,1,MI,Piyush Chawla,4.0,24,0,69,0,17.25,,
IPL_2023_009,2,KKR,Sunil Narine,4.0,24,0,33,0,8.25,,
IPL_2023_009,2,KKR,Andre Russell,4.0,24,0,36,1,9.0,36.0,24.0
IPL_2023_009,2,KKR,Ramandeep Singh,4.0,24,0,24,2,6.0,12.0,12.0
IPL_2023_009,2,KKR,Mitchell Starc,4.0,24,0,13,2,3.25,6.5,12.0
IPL_2023_009,2,KKR,Harshit Rana,4.0,24,0,77,1,19.25,77.0,24.0
IPL_2023_010,1,KKR,Sunil Narine,4.0,24,0,34,2,8.5,17.0,12.0
IPL_2023_010,1,KKR,Andre Russell,4.0,24,0,22,1,5.5,22.0,24.0
IPL_2023_010,1,KKR,Ramandeep Singh,4.0,24,1,15,1,3.75,15.0,24.0
IPL_2023_010,1,KKR,Mitchell Starc,4.0,24,0,20,2,5.0,10.0,12.0
IPL_2023_010,1,KKR,Harshit Rana,4.0,24,0,67,1,16.75,67.0,24.0
IPL_2023_010,2,GT,Azmatullah Omarzai,4.0,24,0,30,1,7.5,30.0,24.0
IPL_2023_010,2,GT,Rahul Tewatia,4.0,24,0,25,2,6.25,12.5,12.0
IPL_2023_010,2,GT,Rashid Khan,4.0,24,0,23,2,5.75,11.5,12.0
IPL_2023_010,2,GT,Mohit Sharma,4.0,24,0,21,1,5.25,21.0,24.0
IPL_2023_010,2,GT,Noor Ahmad,4.0,24,0,62,3,15.5,20.67,8.0
IPL_2023_011,1,MI,Hardik Pandya,4.0,24,0,44,2,11.0,22.0,12.0
IPL_2023_011,1,MI,Romario Shepherd,4.0,24,0,30,0,7.5,,
IPL_2023_011,1,MI,Mohammad Nabi,4.0,24,0,25,2,6.25,12.5,12.0
IPL_2023_011,1,MI,Gerald Coetzee,4.0,24,0,19,1,4.75,19.0,24.0
IPL_2023_011,1,MI,Piyush Chawla,4.0,24,0,68,2,17.0,34.0,12.0
IPL_2023_011,2,RR,Rovman Powell,4.0,24,0,26,2,6.5,13.0,12.0
IPL_2023_011,2,RR,Ravichandran Ashwin,4.0,24,0,23,2,5.75,11.5,12.0
IPL_2023_011,2,RR,Trent Boult,4.0,24,0,35,2,8.75,17.5,12.0
IPL_2023_011,2,RR,Avesh Khan,4.0,24,0,20,2,5.0,10.0,12.0
IPL_2023_011,2,RR,Sandeep Sharma,4.0,24,0,81,2,20.25,40.5,12.0
IPL_2023_012,1,CSK,Rachin Ravindra,4.0,24,0,38,2,9.5,19.0,12.0
IPL_2023_012,1,CSK,Daryl Mitchell,4.0,24,0,30,3,7.5,10.0,8.0
IPL_2023_012,1,CSK,Shivam Dube,4.0,24,0,21,2,5.25,10.5,12.0
IPL_2023_012,1,CSK,Ravindra Jadeja,4.0,24,0,13,1,3.25,13.0,24.0
IPL_2023_012,1,CSK,Mitchell Santner,4.0,24,0,81,1,20.25,81.0,24.0
IPL_2023_012,2,LSG,Marcus Stoinis,4.0,24,0,46,3,11.5,15.33,8.0
IPL_2023_012,2,LSG,Deepak Hooda,4.0,24,0,20,2,5.0,10.0,12.0
IPL_2023_012,2,LSG,Krunal Pandya,4.0,24,1,21,1,5.25,21.0,24.0
IPL_2023_012,2,LSG,Ravi Bishnoi,4.0,24,0,17,1,4.25,17.0,24.0
IPL_2023_012,2,LSG,Mohsin Khan,4.0,24,0,81,0,20.25,,
IPL_2023_013,1,SRH,Abhishek Sharma,4.0,24,0,36,3,9.0,12.0,8.0
IPL_2023_013,1,SRH,Nitish Kumar Reddy,4.0,24,0,38,1,9.5,38.0,24.0
IPL_2023_013,1,SRH,Shahbaz Ahmed,4.0,24,0,22,3,5.5,7.33,8.0
IPL_2023_013,1,SRH,Pat Cummins,4.0,24,0,15,2,3.75,7.5,12.0
IPL_2023_013,1,SRH,Bhuvneshwar Kumar,4.0,24,0,80,0,20.0,,
IPL_2023_013,2,RCB,Will Jacks,4.0,24,0,37,3,9.25,12.33,8.0
IPL_2023_013,2,RCB,Glenn Maxwell,4.0,24,0,26,2,6.5,13.0,12.0
IPL_2023_013,2,RCB,Cameron Green,4.0,24,0,25,0,6.25,,
IPL_2023_013,2,RCB,Karn Sharma,4.0,24,0,12,1,3.0,12.0,24.0
IPL_2023_013,2,RCB,Lockie Ferguson,4.0,24,0,68,0,17.0,,
IPL_2023_014,1,MI,Hardik Pandya,4.0,24,0,45,0,11.25,,
IPL_2023_014,1,MI,Romario Shepherd,4.0,24,0,29,2,7.25,14.5,12.0
IPL_2023_014,1,MI,Mohammad Nabi,4.0,24,0,25,1,6.25,25.0,24.0
IPL_2023_014,1,MI,Gerald Coetzee,4.0,24,0,17,1,4.25,17.0,24.0
IPL_2023_014,1,MI,Piyush Chawla,4.0,24,0,63,2,15.75,31.5,12.0
IPL_2023_014,2,PBKS,Sam Curran,4.0,24,0,35,1,8.75,35.0,24.0
IPL_2023_014,2,PBKS,Harpreet Brar,4.0,24,1,19,2,4.75,9.5,12.0
IPL_2023_014,2,PBKS,Harshal Patel,4.0,24,0,21,1,5.25,21.0,24.0
IPL_2023_014,2,PBKS,Kagiso Rabada,4.0,24,0,20,2,5.0,10.0,12.0
IPL_2023_014,2,PBKS,Arshdeep Singh,4.0,24,0,80,1,20.0,80.0,24.0
IPL_2023_015,1,SRH,Abhishek Sharma,4.0,24,0,33,1,8.25,33.0,24.0
IPL_2023_015,1,SRH,Nitish Kumar Reddy,4.0,24,0,24,3,6.0,8.0,8.0
IPL_2023_015,1,SRH,Shahbaz Ahmed,4.0,24,0,16,0,4.0,,
IPL_2023_015,1,SRH,Pat Cummins,4.0,24,0,17,3,4.25,5.67,8.0
IPL_2023_015,1,SRH,Bhuvneshwar Kumar,4.0,24,0,80,0,20.0,,
IPL_2023_015,2,LSG,Marcus Stoinis,4.0,24,0,25,1,6.25,25.0,24.0
IPL_2023_015,2,LSG,Deepak Hooda,4.0,24,0,20,3,5.0,6.67,8.0
IPL_2023_015,2,LSG,Krunal Pandya,4.0,24,1,18,1,4.5,18.0,24.0
IPL_2023_015,2,LSG,Ravi Bishnoi,4.0,24,1,24,1,6.0,24.0,24.0
IPL_2023_015,2,LSG,Mohsin Khan,4.0,24,0,79,1,19.75,79.0,24.0
IPL_2023_016,1,CSK,Rachin Ravindra,4.0,24,0,33,2,8.25,16.5,12.0
IPL_2023_016,1,CSK,Daryl Mitchell,4.0,24,0,31,2,7.75,15.5,12.0
IPL_2023_016,1,CSK,Shivam Dube,4.0,24,0,23,1,5.75,23.0,24.0
IPL_2023_016,1,CSK,Ravindra Jadeja,4.0,24,0,22,2,5.5,11.0,12.0
IPL_2023_016,1,CSK,Mitchell Santner,4.0,24,0,64,1,16.0,64.0,24.0
IPL_2023_016,2,DC,Axar Patel,4.0,24,0,25,2,6.25,12.5,12.0
IPL_2023_016,2,DC,Kuldeep Yadav,4.0,24,0,22,0,5.5,,
IPL_2023_016,2,DC,Khaleel Ahmed,4.0,24,0,31,1,7.75,31.0,24.0
IPL_2023_016,2,DC,Mukesh Kumar,4.0,24,0,19,2,4.75,9.5,12.0
IPL_2023_016,2,DC,Ishant Sharma,4.0,24,0,73,0,18.25,,
IPL_2023_017,1,RCB,Will Jacks,4.0,24,0,32,0,8.0,,
IPL_2023_017,1,RCB,Glenn Maxwell,4.0,24,0,23,0,5.75,,
IPL_2023_017,1,RCB,Cameron Green,4.0,24,0,29,1,7.25,29.0,24.0
IPL_2023_017,1,RCB,Karn Sharma,4.0,24,0,14,1,3.5,14.0,24.0
IPL_2023_017,1,RCB,Lockie Ferguson,4.0,24,0,83,3,20.75,27.67,8.0
IPL_2023_017,2,MI,Hardik Pandya,4.0,24,0,42,2,10.5,21.0,12.0
IPL_2023_017,2,MI,Romario Shepherd,4.0,24,0,26,3,6.5,8.67,8.0
IPL_2023_017,2,MI,Mohammad Nabi,4.0,24,0,15,0,3.75,,
IPL_2023_017,2,MI,Gerald Coetzee,4.0,24,0,12,3,3.0,4.0,8.0
IPL_2023_017,2,MI,Piyush Chawla,4.0,24,0,76,1,19.0,76.0,24.0
IPL_2023_018,1,GT,Azmatullah Omarzai,4.0,24,0,35,2,8.75,17.5,12.0
IPL_2023_018,1,GT,Rahul Tewatia,4.0,24,0,19,2,4.75,9.5,12.0
IPL_2023_018,1,GT,Rashid Khan,4.0,24,0,22,2,5.5,11.0,12.0
IPL_2023_018,1,GT,Mohit Sharma,4.0,24,0,14,2,3.5,7.0,12.0
IPL_2023_018,1,GT,Noor Ahmad,4.0,24,0,78,0,19.5,,
