match_id,season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,result
IPL_2023_001,2023,2023-05-09,SRH,CSK,Wankhede Stadium,Mumbai,SRH,bat,CSK,CSK won by 3 wickets
IPL_2023_002,2023,2023-05-06,DC,LSG,Sawai Mansingh Stadium,Jaipur,LSG,bat,DC,DC won by 5 wickets
IPL_2023_003,2023,2023-05-05,PBKS,DC,Narendra Modi Stadium,Ahmedabad,DC,bat,PBKS,PBKS won by 6 wickets
IPL_2023_004,2023,2023-03-24,SRH,CSK,Sawai Mansingh Stadium,Jaipur,SRH,bat,SRH,SRH won by 47 runs
IPL_2023_005,2023,2023-05-28,MI,LSG,Sawai Mansingh Stadium,Jaipur,MI,field,LSG,LSG won by 5 runs
IPL_2023_006,2023,2023-03-20,SRH,KKR,Arun Jaitley Stadium,Delhi,SRH,bat,SRH,SRH won by 5 runs
IPL_2023_007,2023,2023-04-14,DC,LSG,Sawai Mansingh Stadium,Jaipur,DC,field,LSG,LSG won by 27 runs
IPL_2023_008,2023,2023-05-27,MI,CSK,Maharaja Yadavindra Singh Stadium,Mullanpur,MI,bat,CSK,CSK won by 4 wickets
IPL_2023_009,2023,2023-03-17,MI,KKR,BRSABV Ekana Cricket Stadium,Lucknow,MI,field,KKR,KKR won by 7 runs
IPL_2023_010,2023,2023-03-28,GT,KKR,Narendra Modi Stadium,Ahmedabad,KKR,field,KKR,KKR won by 6 wickets
IPL_2023_011,2023,2023-03-12,MI,RR,Wankhede Stadium,Mumbai,MI,field,RR,RR won by 1 runs
IPL_2023_012,2023,2023-03-04,CSK,LSG,BRSABV Ekana Cricket Stadium,Lucknow,LSG,bat,CSK,CSK won by 5 wickets
IPL_2023_013,2023,2023-04-15,SRH,RCB,BRSABV Ekana Cricket Stadium,Lucknow,SRH,field,RCB,RCB won by 23 runs
IPL_2023_014,2023,2023-05-03,PBKS,MI,M. A. Chidambaram Stadium (Chepauk),Chennai,PBKS,bat,PBKS,PBKS won by 4 runs
IPL_2023_015,2023,2023-05-23,LSG,SRH,Wankhede Stadium,Mumbai,LSG,bat,LSG,LSG won by 4 runs
IPL_2023_016,2023,2023-03-09,CSK,DC,Wankhede Stadium,Mumbai,CSK,field,DC,DC won by 3 runs
IPL_2023_017,2023,2023-04-05,MI,RCB,Eden Gardens,Kolkata,MI,bat,MI,MI won by 10 runs
IPL_2023_018,2023,2023-04-25,GT,LSG,Rajiv Gandhi International Cricket Stadium,Hyderabad,GT,field,GT,GT won by 6 wickets
IPL_2023_019,2023,2023-05-16,KKR,RR,Arun Jaitley Stadium,Delhi,KKR,field,RR,RR won by 9 runs
IPL_2023_020,2023,2023-03-20,KKR,GT,M. A. Chidambaram Stadium (Chepauk),Chennai,GT,bat,GT,GT won by 8 runs
IPL_2023_021,2023,2023-04-10,PBKS,KKR,Rajiv Gandhi International Cricket Stadium,Hyderabad,PBKS,field,PBKS,PBKS won by 5 wickets
IPL_2023_022,2023,2023-04-08,CSK,MI,BRSABV Ekana Cricket Stadium,Lucknow,MI,field,CSK,CSK won by 15 runs
IPL_2023_023,2023,2023-05-20,SRH,PBKS,Sawai Mansingh Stadium,Jaipur,PBKS,field,SRH,SRH won by 10 runs
IPL_2023_024,2023,2023-05-24,DC,MI,Eden Gardens,Kolkata,DC,field,MI,MI won by 7 runs
IPL_2023_025,2023,2023-03-21,PBKS,RCB,Wankhede Stadium,Mumbai,RCB,field,PBKS,PBKS won by 6 runs
IPL_2023_026,2023,2023-04-08,CSK,GT,Sawai Mansingh Stadium,Jaipur,CSK,field,GT,GT won by 6 runs
IPL_2023_027,2023,2023-04-14,KKR,RR,BRSABV Ekana Cricket Stadium,Lucknow,KKR,bat,RR,RR won by 6 wickets
IPL_2023_028,2023,2023-05-11,SRH,DC,M. A. Chidambaram Stadium (Chepauk),Chennai,SRH,field,DC,DC won by 12 runs
IPL_2023_029,2023,2023-03-08,MI,DC,Sawai Mansingh Stadium,Jaipur,DC,bat,MI,MI won by 5 wickets
IPL_2023_030,2023,2023-04-11,PBKS,SRH,Arun Jaitley Stadium,Delhi,PBKS,bat,PBKS,PBKS won by 13 runs
IPL_2023_031,2023,2023-05-13,LSG,CSK,Sawai Mansingh Stadium,Jaipur,LSG,field,LSG,LSG won by 6 wickets
IPL_2023_032,2023,2023-03-25,KKR,LSG,M. A. Chidambaram Stadium (Chepauk),Chennai,KKR,field,KKR,KKR won by 6 wickets
IPL_2023_033,2023,2023-03-14,SRH,CSK,Maharaja Yadavindra Singh Stadium,Mullanpur,SRH,bat,CSK,CSK won by 5 wickets
IPL_2023_034,2023,2023-03-21,CSK,RCB,Rajiv Gandhi International Cricket Stadium,Hyderabad,CSK,field,RCB,RCB won by 11 runs
IPL_2023_035,2023,2023-04-28,CSK,GT,Narendra Modi Stadium,Ahmedabad,GT,bat,CSK,CSK won by 5 wickets
IPL_2023_036,2023,2023-03-02,CSK,GT,Eden Gardens,Kolkata,CSK,field,CSK,CSK won by 4 wickets
IPL_2023_037,2023,2023-03-22,RCB,DC,Sawai Mansingh Stadium,Jaipur,RCB,bat,DC,DC won by 5 wickets
IPL_2023_038,2023,2023-04-25,RR,PBKS,Eden Gardens,Kolkata,RR,field,RR,RR won by 4 wickets
IPL_2023_039,2023,2023-05-04,RCB,MI,BRSABV Ekana Cricket Stadium,Lucknow,MI,field,RCB,RCB won by 8 runs
IPL_2023_040,2023,2023-03-26,LSG,MI,Rajiv Gandhi International Cricket Stadium,Hyderabad,LSG,field,LSG,LSG won by 4 wickets
IPL_2023_041,2023,2023-04-04,DC,CSK,Eden Gardens,Kolkata,CSK,field,CSK,CSK won by 5 wickets
IPL_2023_042,2023,2023-05-20,GT,RR,Eden Gardens,Kolkata,RR,field,RR,RR won by 5 wickets
IPL_2023_043,2023,2023-04-15,LSG,PBKS,Narendra Modi Stadium,Ahmedabad,LSG,field,LSG,LSG won by 5 wickets
IPL_2023_044,2023,2023-04-26,SRH,DC,Arun Jaitley Stadium,Delhi,DC,bat,DC,DC won by 2 runs
IPL_2023_045,2023,2023-03-27,CSK,RCB,Narendra Modi Stadium,Ahmedabad,RCB,bat,RCB,RCB won by 2 runs
IPL_2023_046,2023,2023-05-03,CSK,DC,M. A. Chidambaram Stadium (Chepauk),Chennai,CSK,bat,CSK,CSK won by 18 runs
IPL_2023_047,2023,2023-05-23,DC,RCB,BRSABV Ekana Cricket Stadium,Lucknow,DC,bat,RCB,RCB won by 5 wickets
IPL_2023_048,2023,2023-04-09,RR,GT,Eden Gardens,Kolkata,GT,field,GT,GT won by 5 wickets
IPL_2023_049,2023,2023-05-07,DC,KKR,Rajiv Gandhi International Cricket Stadium,Hyderabad,DC,bat,KKR,KKR won by 5 wickets
IPL_2023_050,2023,2023-05-28,RCB,GT,Narendra Modi Stadium,Ahmedabad,RCB,field,GT,GT won by 3 runs
IPL_2023_051,2023,2023-04-11,DC,RR,M. Chinnaswamy Stadium,Bengaluru,RR,field,DC,DC won by 17 runs
IPL_2023_052,2023,2023-04-11,SRH,LSG,Narendra Modi Stadium,Ahmedabad,LSG,bat,LSG,LSG won by 13 runs
IPL_2023_053,2023,2023-03-13,PBKS,CSK,Narendra Modi Stadium,Ahmedabad,PBKS,bat,PBKS,PBKS won by 14 runs
IPL_2023_054,2023,2023-03-15,GT,KKR,Maharaja Yadavindra Singh Stadium,Mullanpur,KKR,field,GT,GT won by 10 runs
IPL_2023_055,2023,2023-03-19,GT,MI,Narendra Modi Stadium,Ahmedabad,GT,field,MI,MI won by 6 runs
IPL_2023_056,2023,2023-05-23,RR,CSK,M. Chinnaswamy Stadium,Bengaluru,RR,field,CSK,CSK won by 30 runs
IPL_2023_057,2023,2023-03-11,LSG,KKR,Eden Gardens,Kolkata,LSG,bat,LSG,LSG won by 6 runs
IPL_2023_058,2023,2023-03-05,SRH,CSK,Maharaja Yadavindra Singh Stadium,Mullanpur,SRH,field,SRH,SRH won by 4 wickets
IPL_2023_059,2023,2023-03-24,RCB,KKR,Narendra Modi Stadium,Ahmedabad,KKR,bat,KKR,KKR won by 14 runs
